"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"HMDB06351",0.6036368064,0.02269035368,4.11099848489997,5.24265001045972e-05,0.000106086564917538,1.13391485045309,"HMDB06351","UP","HMDB06351"
"HMDB08536",0.572733464191304,0.06877196851,4.10512943232034,5.36941999344419e-05,0.000107388399868884,1.11133585549674,"HMDB08536","UP","HMDB08536"
"HMDB13328",0.573043558376982,-0.047346423345,4.07419523664165,6.08731602169631e-05,0.000120346937440433,0.99279792137597,"HMDB13328","UP","HMDB13328"
"HMDB13438",0.516517311383632,0.043118236175,4.02295028756627,7.48152755280804e-05,0.000146229856713975,0.798173116105601,"HMDB13438","UP","HMDB13438"
"HMDB13437",0.48923026762046,0.05360232587,3.85023611973568,0.000147649859134407,0.0002853457951811,0.158345202674155,"HMDB13437","UP","HMDB13437"
"HMDB00191",-0.447695982996931,0.229734844165,-3.82125798246971,0.000165105950226232,0.000315535815987911,0.0534494136353638,"HMDB00191","DOWN","HMDB00191"
"HMDB02250",0.516448691410742,-0.10573935918,3.81191728586006,0.000171136903176923,0.00032346755325748,0.019788988980304,"HMDB02250","UP","HMDB02250"
"HMDB00883",-0.494024495899233,0.230185679305,-3.74648230927763,0.000219606644454496,0.000410568943980144,-0.213940635207596,"HMDB00883","DOWN","HMDB00883"
"HMDB13332",0.529059979974936,-0.168564327185,3.71465333692734,0.000247621192650664,0.000457966076730261,-0.326315630510226,"HMDB13332","UP","HMDB13332"
"HMDB13433",0.454746746959591,-0.01653803491,3.55055410110712,0.0004539403157908,0.000830614194851251,-0.891915428678726,"HMDB13433","UP","HMDB13433"
"HMDB00271",-0.4409658110711,0.10452573594,-3.4631969440498,0.000621238957094254,0.00111388822956147,-1.18353103248522,"HMDB00271","DOWN","HMDB00271"
"HMDB00201",0.489955164334527,-0.01304699519,3.4629860337739,0.000621705058359889,0.00111388822956147,-1.18422707134046,"HMDB00201","UP","HMDB00201"
"HMDB00161",-0.48182806595243,0.084183976395,-3.4520776646063,0.000646262982721999,0.00114595085596066,-1.22017368100036,"HMDB00161","DOWN","HMDB00161"
"HMDB00725",-0.471712009063427,0.032021843165,-3.41545025396195,0.000735520359275604,0.00129091328362657,-1.34011378343956,"HMDB00725","DOWN","HMDB00725"
"HMDB00162",-0.428270477956522,0.097624646975,-3.20165684770571,0.00153120704630635,0.00266027890873427,-2.01670611041415,"HMDB00162","DOWN","HMDB00162"
"HMDB00167",-0.399956411497698,0.17352795813,-3.03270487636415,0.00266145256782627,0.00453237466996157,-2.52271819576026,"HMDB00167","DOWN","HMDB00167"
"HMDB00159",-0.403356521333504,0.123928937845,-3.0078186767953,0.00288147680544413,0.00485896088761167,-2.59509313600939,"HMDB00159","DOWN","HMDB00159"
"HMDB13458",0.388078300538107,0.00974972568,2.97383049176063,0.00320898389716732,0.00535869155643475,-2.69303840467875,"HMDB13458","UP","HMDB13458"
"HMDB00791",0.338269344973401,-0.041092788005,2.9569361881333,0.00338416343303315,0.00559688567770868,-2.74133601875783,"HMDB00791","UP","HMDB00791"
"HMDB01414",0.419288035576471,-0.05821301012,2.90747895889589,0.00394852644933777,0.0064680623741533,-2.88124250642607,"HMDB01414","UP","HMDB01414"
"HMDB13431",-0.390827354126854,0.22474653913,-2.90372540565038,0.0039946861402775,0.00648194354837482,-2.89177033908106,"HMDB13431","DOWN","HMDB13431"
"HMDB00222",0.405957193158056,-0.05027926844,2.7822438141142,0.00578216022373264,0.00929468746244873,-3.22558865127004,"HMDB00222","UP","HMDB00222"
"HMDB02005",-0.415415941712532,0.05113036568,-2.74382690412137,0.00648284764824919,0.010324535143508,-3.32835491058957,"HMDB02005","DOWN","HMDB02005"
"HMDB10383",0.365682617960102,0.06617430708,2.73621498394926,0.00663047905584524,0.0104627742899576,-3.34855678048626,"HMDB10383","UP","HMDB10383"
"HMDB08537",0.377177954355499,0.025704921425,2.71758226446136,0.00700476607517226,0.0109529069539057,-3.39778369577688,"HMDB08537","UP","HMDB08537"
"HMDB00874",0.347196877370844,0.0676398649,2.69910838940295,0.00739459574928362,0.0114582925124034,-3.4462767758104,"HMDB00874","UP","HMDB00874"
