"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"COL4A3BP",0.414851521651439,5.79505970149254,4.51577489030691,1.11717895244672e-05,0.00152514812511801,3.12298914873286,"COL4A3BP","UP","COL4A3BP"
"RFXAP",0.359321291700609,6.37357711442786,4.51070708129549,1.14150434371817e-05,0.00152514812511801,3.10333151705795,"RFXAP","UP","RFXAP"
"KDELC2",0.383303220117792,5.23276616915423,4.50043970020088,1.19235929097422e-05,0.0015611334193984,3.0635588218983,"KDELC2","UP","KDELC2"
"NFIX",-0.365410481360313,5.10834825870647,-4.46105137878986,1.40843152862006e-05,0.00167938692745934,2.91164898261826,"NFIX","DOWN","NFIX"
"LIM2",-0.363014297336886,4.37867661691542,-4.45395187668621,1.45118722661391e-05,0.00170715463122879,2.88438129265194,"LIM2","DOWN","LIM2"
"PLAGL1",0.396420951610856,5.67161194029851,4.44516332083717,1.50584499639514e-05,0.00170715463122879,2.85067429490052,"PLAGL1","UP","PLAGL1"
"VEZT",0.366579110146843,5.17247263681592,4.44477950681815,1.50827655076904e-05,0.00170715463122879,2.84920345305112,"VEZT","UP","VEZT"
"ZNF267",0.440296300300401,4.58966666666667,4.44120339273545,1.53111421153033e-05,0.00170715463122879,2.83550403816369,"ZNF267","UP","ZNF267"
"FAS",0.381340557013032,6.65250746268657,4.43873968057009,1.54704084115687e-05,0.00170877776145534,2.8260711473984,"FAS","UP","FAS"
"CAPN7",0.364917050723737,3.73260199004975,4.42661601068924,1.62776162703998e-05,0.00173870125023864,2.7797138237622,"CAPN7","UP","CAPN7"
"JMJD1C",0.401699539711817,6.76061691542289,4.41045532121362,1.74167377274275e-05,0.00178242415436644,2.71807789149739,"JMJD1C","UP","JMJD1C"
"PAG1",0.40629232039701,7.04080597014925,4.40564565291849,1.77702874514488e-05,0.00179785049609809,2.69976896277279,"PAG1","UP","PAG1"
"CASP8AP2",0.450480795635547,4.21657711442786,4.40096169217865,1.81212151533699e-05,0.00180599095498659,2.68195395585341,"CASP8AP2","UP","CASP8AP2"
"SOX4",0.394846738252812,4.01564179104478,4.38117211446627,1.96787120552751e-05,0.00187865089392238,2.60685402713685,"SOX4","UP","SOX4"
"RBM7",0.422918639433206,5.50152736318408,4.38085544540326,1.97046501567703e-05,0.00187865089392238,2.60565450203271,"RBM7","UP","RBM7"
"FBXL3",0.406484042547448,5.43596019900497,4.37687892611198,2.00331701197497e-05,0.00187865089392238,2.5905975961083,"FBXL3","UP","FBXL3"
"PALLD",0.356571175406039,3.78764676616915,4.36320120674267,2.12037694709811e-05,0.00193732663456961,2.53889152065171,"PALLD","UP","PALLD"
"CHORDC1",0.47667086436475,4.55025373134328,4.35806314521238,2.16602446288391e-05,0.00194778827798915,2.51950169229097,"CHORDC1","UP","CHORDC1"
"ZNF382",0.451113214299228,5.18074626865672,4.35198399313503,2.22125102785035e-05,0.00195379062660633,2.49658418050398,"ZNF382","UP","ZNF382"
"POLI",0.5182091126607,5.18203980099502,4.34672299836908,2.27013319741751e-05,0.00196074638110603,2.47677181446449,"POLI","UP","POLI"
"FAM208B",0.365748061238393,5.8079552238806,4.29933921882466,2.75943235071364e-05,0.00213791175453299,2.29920205695972,"FAM208B","UP","FAM208B"
"TMF1",0.49980213655858,4.99562686567164,4.27789925551256,3.01266864854978e-05,0.00224866266571709,2.21937429498667,"TMF1","UP","TMF1"
"CDC37L1",0.489455886084397,4.82233333333333,4.27733542010805,3.01961989355979e-05,0.00224866266571709,2.21727932787592,"CDC37L1","UP","CDC37L1"
"ZNRF2",0.498958472536746,5.88876119402985,4.27260218316318,3.07858259860241e-05,0.00226728553732366,2.19970152154314,"ZNRF2","UP","ZNRF2"
"TBC1D15",0.359351812529599,5.97596517412935,4.24759130612819,3.40891345821271e-05,0.00237935032734903,2.10708148187206,"TBC1D15","UP","TBC1D15"
"FBXO5",0.372685181477756,3.19142786069652,4.23685007381653,3.56096353372658e-05,0.00241807530534274,2.06744055943259,"FBXO5","UP","FBXO5"
"PAPOLG",0.420768016260974,6.29336815920398,4.23480892358024,3.59058230319704e-05,0.00242176918173882,2.05991686769508,"PAPOLG","UP","PAPOLG"
"KLC3",-0.521586013352867,5.03767164179104,-4.22537523729042,3.73056322389398e-05,0.00244582003898454,2.02518266343391,"KLC3","DOWN","KLC3"
"PGLYRP1",-0.391456168218227,6.62323383084577,-4.22140653435734,3.79100006197088e-05,0.00246562705329223,2.01058905500511,"PGLYRP1","DOWN","PGLYRP1"
"ORMDL1",0.378481165122671,6.10939800995025,4.21788213179006,3.84545540264509e-05,0.00246897957133931,1.9976386029629,"ORMDL1","UP","ORMDL1"
"TUBE1",0.482880674039987,4.3818855721393,4.21310968974873,3.92038814818779e-05,0.00250904841484019,1.98011630009182,"TUBE1","UP","TUBE1"
"RAB3GAP2",0.393663825613053,5.18586567164179,4.16768194674075,4.70714888317692e-05,0.00275701083643233,1.81413876544602,"RAB3GAP2","UP","RAB3GAP2"
"PNPLA8",0.397925280628204,5.42395024875622,4.16649343953008,4.72963323159422e-05,0.00275701083643233,1.80981616572152,"PNPLA8","UP","PNPLA8"
"SLC35F5",0.52248964971029,4.8612039800995,4.1575490181021,4.9021686841539e-05,0.00280572123088488,1.77731778932927,"SLC35F5","UP","SLC35F5"
"PGRMC2",0.423571575642498,3.94539303482587,4.14572361926147,5.13952732171155e-05,0.00283612832528179,1.73443986138302,"PGRMC2","UP","PGRMC2"
"MIB1",0.484494124587653,3.67550746268657,4.13477688199674,5.36900408861636e-05,0.00287497419419909,1.6948374359394,"MIB1","UP","MIB1"
"GLCCI1",0.448735923913433,6.58783582089552,4.13322679281245,5.40227912548969e-05,0.00287497419419909,1.68923658608303,"GLCCI1","UP","GLCCI1"
"SACS",0.520951800155355,5.36464179104478,4.11045945723469,5.91428989280042e-05,0.00300698109473548,1.6071720848083,"SACS","UP","SACS"
"TMEM86B",-0.383038839780915,6.27950746268657,-4.10771020820105,5.97916370621924e-05,0.0030094122453011,1.59728776092901,"TMEM86B","DOWN","TMEM86B"
"VCPIP1",0.49637049717329,5.78353731343284,4.10436368416855,6.05904819102699e-05,0.0030419762747532,1.58526343243827,"VCPIP1","UP","VCPIP1"
"ZNF84",0.362537550428592,4.56206965174129,4.09224371009079,6.35697307018508e-05,0.00312881780201345,1.54178314915699,"ZNF84","UP","ZNF84"
"SEC23A",0.45341075142395,4.57923880597015,4.07184749045268,6.89013830561144e-05,0.0032706931407111,1.46885202052128,"SEC23A","UP","SEC23A"
"RAB3IL1",-0.409330811331891,4.98678109452736,-4.04880085500193,7.54387503552329e-05,0.00344354473464553,1.38680713804527,"RAB3IL1","DOWN","RAB3IL1"
"ARMCX3",0.405791747406467,6.55499004975124,4.04591427147698,7.62980487308151e-05,0.00345011853764264,1.37655827004832,"ARMCX3","UP","ARMCX3"
"CRY1",0.376333563313284,5.52607462686567,4.03505261303048,7.96157706677976e-05,0.00352640217791415,1.33804815388742,"CRY1","UP","CRY1"
"ZBTB1",0.551424063326956,3.4972039800995,4.03368913415594,8.00418327964704e-05,0.00352640217791415,1.33322000296771,"ZBTB1","UP","ZBTB1"
"SMC4",0.387121950826159,6.47751741293532,4.02903854585328,8.1511458811811e-05,0.00353963532526223,1.31676222755296,"SMC4","UP","SMC4"
"ZNF506",0.357741375733732,2.67149253731343,4.00519315669947,8.94595840442966e-05,0.00376980653330447,1.23262500026469,"ZNF506","UP","ZNF506"
"KIAA1468",0.446831275369873,5.10241293532338,4.00146323204143,9.07677186640331e-05,0.00378424422771849,1.21950178269929,"KIAA1468","UP","KIAA1468"
"TVP23C",0.366724479760783,4.16095024875622,3.9776473601538,9.95596174374946e-05,0.00398875651301578,1.13594953342705,"TVP23C","UP","TVP23C"
"ZNF92",0.439050151356238,4.16930845771144,3.96585636774904,0.000104206737012319,0.00409307716829564,1.09473789896955,"ZNF92","UP","ZNF92"
"KLHL28",0.506058427530683,4.82541791044776,3.95636012836261,0.000108098721884892,0.0041648408614526,1.0616212428396,"KLHL28","UP","KLHL28"
"CDC34",-0.362196786313108,5.55843781094527,-3.94553148021707,0.000112705452908011,0.00427597657699485,1.02393914232209,"CDC34","DOWN","CDC34"
"TC2N",0.350179795538946,6.05045273631841,3.93623270058907,0.000116809747010598,0.00437120930919954,0.991649834693049,"TC2N","UP","TC2N"
"ZBTB21",0.432012593680772,3.66638805970149,3.90728844686161,0.000130513888987459,0.00465205377970956,0.891552519589561,"ZBTB21","UP","ZBTB21"
"SUB1",0.403067131443904,6.08408955223881,3.89646252847578,0.000136021668545684,0.00476361200053697,0.854273057447589,"SUB1","UP","SUB1"
"CFH",0.508794080937408,3.85094029850746,3.78846540385345,0.000204474661718965,0.00611348719933479,0.487167908901323,"CFH","UP","CFH"
"RILP",-0.416921083848347,6.60350248756219,-3.77767658086506,0.000212872408285264,0.00626317563430421,0.450975144379401,"RILP","DOWN","RILP"
"ZNF181",0.388625508824696,6.00583084577114,3.77668820929256,0.000213657844983274,0.00627565095411282,0.447663888750412,"ZNF181","UP","ZNF181"
"SLMO2",0.353803301896712,4.95624378109453,3.77083246196324,0.000218367839605507,0.00633358534170664,0.428061007407436,"SLMO2","UP","SLMO2"
"TMEM55A",0.436653454883619,5.7307263681592,3.7660805901167,0.000222262000541087,0.00642475093050368,0.412172521680089,"TMEM55A","UP","TMEM55A"
