"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB00159",-0.508028914250855,0.123928937845,-3.22525170715707,0.00142361382873411,0.00260491041002412,-1.77470090144684,"HMDB00159","DOWN",NA
"HMDB13439",-0.489676295263341,0.227971661805,-3.195448429907,0.00157271799901829,0.00284744732453838,-1.86591836876114,"HMDB13439","DOWN","PC(o-20:0/18:3(6Z,9Z,12Z))"
"HMDB13414",0.446766334250843,0.031982649925,3.13450349809152,0.00192365439394544,0.00344654745581891,-2.05001659281899,"HMDB13414","UP","PC(o-16:1(9Z)/20:0)"
"HMDB00172",-0.461398604145908,0.215879727945,-3.10347167633003,0.00212892026518877,0.00377499263518009,-2.14249593821696,"HMDB00172","DOWN",NA
"HMDB08657",0.454373090871392,-0.11443447106,3.0785271926623,0.00230836737602692,0.00405142029261868,-2.2162162288123,"HMDB08657","UP","PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))"
"HMDB13431",-0.465978180064002,0.22474653913,-2.96908184792289,0.00327247691076001,0.00568551544091639,-2.53313322274198,"HMDB13431","DOWN","PC(o-18:1(9Z)/20:1(11Z))"
"HMDB10382",-0.43215759276067,0.166078012965,-2.83333463640673,0.00497621332775343,0.0085590869237359,-2.9113284966405,"HMDB10382","DOWN","LysoPC(16:0)"
"HMDB01257",0.481098950825333,0.15511182486,2.83003446035807,0.00502622075653238,0.0085595046546888,-2.92031650317532,"HMDB01257","UP",NA
"HMDB08606",0.427726446992344,0.04468523024,2.78959311132679,0.00567724511018411,0.00957339371521242,-3.02965946499516,"HMDB08606","UP","PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))"
"HMDB06469.1",0.442121309722029,0.091745672265,2.7355142343729,0.00666727543536607,0.0111337026687666,-3.17356168279422,"HMDB06469.1","UP",NA
"HMDB08537",0.441807761655967,0.025704921425,2.72272116101055,0.00692322513321903,0.0114499492587853,-3.20721561239506,"HMDB08537","UP","PC(22:0/20:0)"
"HMDB08538",0.430611350839975,0.02713386745,2.6836893367422,0.00775992124274105,0.0127114900357282,-3.30897454100818,"HMDB08538","UP","PC(22:0/20:1(11Z))"
"HMDB13437",0.395620525297275,0.05360232587,2.64915373632476,0.00857508803921254,0.013914293799477,-3.39785428086394,"HMDB13437","UP","PC(o-18:2(9Z,12Z)/22:0)"
"HMDB13438",0.39590081156749,0.043118236175,2.64272077148824,0.00873517298204786,0.0140415864758153,-3.41428971777337,"HMDB13438","UP","PC(o-18:2(9Z,12Z)/24:0)"
"HMDB10405",0.379080273866066,-0.09958852063,2.58988731666039,0.0101549508137367,0.0160273047791937,-3.54784134075078,"HMDB10405","UP","LysoPC(24:0)"
"HMDB02013",0.42177007823037,-0.10141779308,2.58982160212901,0.0101568384937913,0.0160273047791937,-3.54800586192927,"HMDB02013","UP",NA
"HMDB00167",-0.395823569136805,0.17352795813,-2.56056866124727,0.011029015135361,0.0172453691207464,-3.6208495557897,"HMDB00167","DOWN",NA
"HMDB13442",-0.393435440128474,0.26236835848,-2.50061096888637,0.0130286086754094,0.020188474704238,-3.76769546196325,"HMDB13442","DOWN","PC(o-20:0/20:4(8Z,11Z,14Z,17Z))"
"HMDB00883",-0.377014186836743,0.230185679305,-2.47855213211507,0.013841773196163,0.0212570088369646,-3.82088825812794,"HMDB00883","DOWN",NA
"HMDB02095",0.308514582412228,0.054204309895,2.40754023538567,0.0167739590447716,0.0254930390401013,-3.98907527220815,"HMDB02095","UP",NA
"HMDB13458",0.366424441222861,0.00974972568,2.40481790692143,0.0168965491312299,0.0254930390401013,-3.99543007939509,"HMDB13458","UP","PC(o-24:0/18:3(6Z,9Z,12Z))"
"HMDB08536",0.378770463567226,0.06877196851,2.37727820740119,0.0181818648670345,0.0271937457141734,-4.05933051980351,"HMDB08536","UP","PC(22:0/18:4(6Z,9Z,12Z,15Z))"
"HMDB00271",-0.352821892182755,0.10452573594,-2.37174861387804,0.0184500816440449,0.0273570176101356,-4.07207604600474,"HMDB00271","DOWN",NA
"HMDB13433",0.349836265606769,-0.01653803491,2.34583835768617,0.0197538089949148,0.0290397875822679,-4.13142009828679,"HMDB13433","UP","PC(o-18:1(9Z)/22:0)"
"HMDB01414",0.390673689242177,-0.05821301012,2.33157577054245,0.0205054460227049,0.0298892942025867,-4.16382044122765,"HMDB01414","UP",NA
