Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
012_S_4094	0.0	0.019792	0.015248	0.096684	0.06343	0.035465	0.066548	0.0	0.001545	0.03896	0.134488	0.000188	0.146229	0.0	0.018555	0.092514	0.0	0.0	0.001836	0.0	0.058964	0.209552
013_S_1186	0.0	0.0	0.00618	0.061749	0.077978	0.034189	0.059358	0.0	0.0	0.035957	0.144972	0.0	0.216979	0.0	0.0	0.108614	0.0	0.0	0.008766	0.0	0.043674	0.201584
013_S_4395	0.0	0.044644	0.0	0.0	0.154288	0.115384	0.063063	0.0	0.0	0.0	0.093317	0.007159	0.086385	0.0	0.020213	0.107654	0.0	0.01601	0.00024	0.0	0.060053	0.231589
013_S_4595	0.0	6.7e-05	0.0	0.042069	0.082684	0.038123	0.049655	0.0	0.0	0.016654	0.081514	0.0	0.230119	0.0	0.0	0.128119	0.0	0.0	0.013693	0.0	0.046756	0.270548
014_S_0557	0.0	0.0	0.0	0.061464	0.040913	0.0	0.045611	0.0	0.0	0.0	0.149864	0.0	0.180687	0.0	0.0	0.127919	0.0	0.0	0.006212	0.0	0.072966	0.314364
014_S_0658	0.0	0.0	0.0	0.041532	0.045744	0.045075	0.039758	0.0	0.0	0.0	0.111172	0.0	0.166924	0.0	0.0	0.118569	0.0	0.0	0.017652	0.0	0.052963	0.36061
014_S_4058	0.0	0.0	0.0	0.076106	0.070428	0.0	0.064013	0.0	0.0	0.024076	0.194679	0.000968	0.136501	0.0	0.002113	0.124873	0.0	0.0	0.006566	0.0	0.06467	0.235006
014_S_4079	0.0	0.0	0.015579	0.090783	0.041506	0.057746	0.065608	0.0	0.018012	0.000965	0.157471	0.005963	0.198633	0.0	0.014621	0.094574	0.0	0.0	0.010856	0.0	0.075009	0.152673
014_S_4263	0.0	0.0	0.018726	0.062515	0.07123	0.02768	0.059402	0.0	0.0	0.0	0.129369	0.018879	0.143193	0.0	0.001753	0.11219	0.0	0.0	0.010404	0.0	0.046208	0.298451
014_S_4668	0.0	0.015868	0.003399	0.046846	0.077866	0.098478	0.054259	0.0	0.008892	0.013603	0.130623	0.0	0.147318	0.0	0.008078	0.088526	0.0	0.0	0.010411	0.0	0.066143	0.22969
016_S_0702	0.0	0.0	0.0	0.149403	0.035692	0.0	0.049201	0.0	0.0	0.009977	0.178204	0.0	0.189423	0.0	0.0	0.088016	0.0	0.0	0.013104	0.0	0.063541	0.223439
016_S_4584	0.0	0.001375	0.0	0.0	0.091376	0.088166	0.047699	0.0	0.0	0.0	0.08072	0.007581	0.161339	0.0	0.0	0.107235	0.0	0.0	0.014608	0.0	0.062925	0.336976
019_S_4293	0.0	0.0	0.002002	0.049238	0.10369	0.006967	0.044845	0.0	0.0	0.059457	0.220322	0.007708	0.133454	0.0	0.001778	0.083363	0.0	0.0	0.000661	0.0	0.035847	0.250668
021_S_0276	0.0	0.094617	0.005538	0.065146	0.089362	0.021056	0.051244	0.0	0.0	0.0	0.16871	0.0	0.117272	0.0	0.005265	0.108876	0.0	0.0	0.00762	0.0	0.075416	0.189879
021_S_0626	0.0	0.0	0.0	0.08669	0.037213	0.0	0.068456	0.0	0.014678	0.008607	0.189293	0.004142	0.16187	0.0	0.009312	0.102146	0.0	0.0	0.008715	0.0	0.074953	0.233925
021_S_4402	0.0	0.0	0.0	0.023891	0.066956	0.05864	0.056386	0.0	0.0	0.0	0.09253	0.0	0.170243	0.0	0.005645	0.127329	0.0	0.0	0.010597	0.0	0.047262	0.34052
022_S_1097	0.0	0.0	0.0	0.083189	0.052141	0.018899	0.054507	0.0	0.0	0.013435	0.240532	0.017363	0.183713	0.0	0.006679	0.092179	0.0	0.0	0.015708	0.0	0.044342	0.177314
022_S_1351	0.0	0.0	0.0	0.0	0.085254	0.082989	0.054236	0.0	0.0	0.034002	0.105388	0.0	0.118486	0.0	0.007261	0.10682	0.0	0.002907	0.019494	0.0	0.066392	0.31677
022_S_4444	0.0	0.065961	0.0	0.03847	0.079605	0.0	0.058992	0.0	0.0	0.018025	0.175655	0.0	0.219575	0.0	0.001857	0.121156	0.0	0.0	0.023062	0.0	0.074345	0.123298
023_S_0042	0.0	0.013976	0.0	0.038669	0.065074	0.005317	0.054994	0.0	0.004677	0.03455	0.151944	0.0	0.249597	0.0	0.027627	0.122986	0.0	0.0	0.032417	0.0	0.053332	0.144842
023_S_0126	0.0	0.0	0.005134	0.062625	0.073044	0.037166	0.058598	0.0	0.0	0.021138	0.156111	0.0	0.161568	0.0	0.007789	0.103718	0.0	0.0	0.005382	0.0	0.035533	0.272193
023_S_0217	0.0	0.006313	4.2e-05	0.0	0.113373	0.056629	0.04662	0.0	0.0	0.040962	0.128811	0.0	0.137522	0.0	0.007133	0.104311	0.0	0.0	0.01213	0.0	0.039255	0.306901
023_S_0331	0.037843	0.059891	0.0	0.027921	0.055368	0.049218	0.035442	0.0	0.002978	0.0	0.108537	0.004857	0.178701	0.0	0.04141	0.121663	0.0	0.0	0.00351	0.0	0.074942	0.197718
023_S_0376	0.0	0.0	0.028194	0.094104	0.072451	0.045082	0.036928	0.0	0.01155	0.0	0.110561	0.024179	0.174055	0.0	0.0	0.104806	0.0	0.0	0.0	0.0	0.049949	0.248141
023_S_0625	0.0	0.105145	0.020782	0.024728	0.078142	0.01774	0.048042	0.0	0.000237	0.0	0.100668	0.0	0.165666	0.0	0.004821	0.116151	0.0	0.0	0.027294	0.0	0.077778	0.212807
023_S_0887	0.0	0.01804	0.01655	0.096755	0.078105	0.02382	0.063276	0.0	0.019616	0.015075	0.167424	0.0	0.132025	0.0	0.008311	0.093726	0.0	0.0	0.007524	0.0	0.052366	0.207387
023_S_1046	0.0	0.161474	0.02418	0.054818	0.104335	0.0	0.073271	0.0	0.0	0.0	0.128876	0.0	0.144475	0.0	0.012904	0.096844	0.0	0.0	0.005003	0.0	0.078562	0.115258
023_S_4034	0.0	0.020469	0.011443	0.032888	0.106194	0.035586	0.038054	0.0	0.0	0.035098	0.126181	0.0	0.168954	0.0	0.000895	0.114811	0.0	0.0	0.014185	0.0	0.052479	0.242763
023_S_4035	0.0	0.052418	0.0	0.031073	0.113701	0.055432	0.042723	0.0	0.0	0.0	0.122554	0.0	0.183611	0.0	0.00749	0.103513	0.0	0.003655	0.014032	0.0	0.071785	0.198012
023_S_4115	0.0	0.039887	0.003467	0.101123	0.086073	0.027656	0.053065	0.0	0.010966	0.038681	0.184649	0.009819	0.117874	0.0	0.0	0.089948	0.0	0.0	0.006259	0.0	0.059043	0.171491
023_S_4122	0.0	0.0	0.001213	0.046457	0.056392	0.060083	0.048752	0.0	0.0	0.008378	0.134863	0.0	0.187901	0.0	0.0	0.120053	0.0	0.0	0.018506	0.0	0.082872	0.234529
023_S_4243	0.0	0.001814	0.0	0.052691	0.045823	0.0	0.046187	0.0	0.0	0.001045	0.173029	0.0	0.1904	0.0	0.014005	0.114245	0.0	0.003327	0.027824	0.0	0.084732	0.244878
023_S_4502	0.0	0.034834	0.002314	0.016839	0.0943	0.096675	0.051299	0.0	0.0	0.022469	0.124572	0.0	0.153938	0.0	0.003719	0.106787	0.0	0.0	0.006432	0.0	0.067219	0.218603
024_S_4169	0.0	0.051236	0.006768	0.051621	0.108765	0.109275	0.064936	0.0	0.0	0.03564	0.090868	0.004652	0.154221	0.0	0.00822	0.089927	0.0	0.0	0.0	0.0	0.070276	0.153595
027_S_0116	0.0	0.0	0.0	0.029779	0.082528	0.016384	0.034123	0.0	0.014576	0.0	0.133467	0.0	0.251614	0.008441	0.002911	0.105531	0.0	0.0	0.098188	0.0	0.04975	0.172709
