Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
068_S_4274	0.0	0.0	0.0	0.00833	0.110871	0.049638	0.051874	0.0	0.0	0.0	0.130819	0.0	0.174566	0.0	0.0	0.122696	0.0	0.0	0.016591	0.0	0.080304	0.25431
068_S_4332	0.0	0.0	0.0	0.091678	0.045459	0.0	0.063202	0.0	0.0	0.078798	0.156853	0.0	0.161945	0.0	0.002244	0.096694	0.0	0.0	0.008216	0.0	0.054811	0.240099
068_S_4431	0.0	0.0	0.0	0.023443	0.094914	0.038329	0.051545	0.0	0.0	0.03161	0.172576	0.0	0.21486	0.0	0.0	0.11104	0.0	0.0	0.0193	0.0	0.060397	0.181986
072_S_2026	0.0	0.0	0.02287	0.0	0.099448	0.015974	0.028368	0.0	0.000105	0.0	0.097916	0.0	0.147075	0.0	0.067739	0.09997	0.0	0.0	0.001016	0.0	0.032918	0.3866
072_S_2027	0.0	0.0	0.036053	0.062756	0.093827	0.015449	0.045439	0.0	0.012202	0.0	0.16618	0.007281	0.128058	0.0	0.006684	0.096297	0.0	0.0	0.002296	0.0	0.015353	0.312125
072_S_2037	0.0	0.0	0.002315	0.068722	0.08904	0.027852	0.054517	0.0	0.010081	0.022773	0.151649	0.002917	0.130921	0.0	0.006829	0.094768	0.0	0.0	0.0	0.0	0.026701	0.310916
072_S_2070	0.0	0.0	0.029794	0.0	0.109081	0.141791	0.072876	0.0	0.006841	0.054196	0.097622	0.0	0.09007	0.0	0.013293	0.103777	0.0	0.0	0.005006	0.0	0.060544	0.215108
072_S_2072	0.0	0.0	0.0	0.021441	0.087608	0.024995	0.039112	0.0	0.0	0.0	0.09487	0.0	0.144257	0.0	0.0	0.118771	0.0	0.0	0.022593	0.0	0.051611	0.394742
072_S_2083	0.0	0.00712	0.00652	0.080454	0.110776	0.005494	0.053086	0.0	0.0	0.023392	0.143226	0.0	0.149811	0.0	0.00572	0.105301	0.0	0.0	0.0	0.0	0.063438	0.245663
072_S_2093	0.0	0.024612	0.0	0.007086	0.137496	0.055182	0.046998	0.0	0.0	0.0	0.125769	0.0	0.129955	0.0	0.005898	0.11571	0.0	0.0	0.0	0.0	0.06636	0.284935
072_S_2116	0.054953	0.175483	0.003156	0.038264	0.132313	0.009422	0.090968	0.0	0.0	0.0	0.12588	0.0	0.119911	0.0	0.016962	0.074544	0.0	0.0	0.006836	0.0	0.046997	0.10431
072_S_2164	0.0	0.03546	0.00025	0.008093	0.119866	0.053432	0.05095	0.0	0.0	0.0	0.10137	0.019578	0.162933	0.0	0.004805	0.112337	0.0	0.0	0.006049	0.0	0.065518	0.259362
072_S_4007	0.0	0.0	0.0	0.029327	0.051304	0.022576	0.038207	0.0	0.0	0.0	0.111897	0.0	0.223803	0.0	0.00423	0.109784	0.0	0.0	0.011342	0.0	0.066705	0.330825
072_S_4102	0.0	0.0	0.007349	0.0	0.143118	0.04217	0.054817	0.0	0.0	0.007333	0.12579	0.0	0.14087	0.0	0.013598	0.098445	0.0	0.0	0.010707	0.0	0.047224	0.308579
